"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g4",83.2887171149724,-0.696008380457794,0.842250012211254,-0.826367907826424,0.408595422420799,0.550969456423394
"g6",82.6242897529928,-0.241836795817384,0.602625616523872,-0.401305203738886,0.68819543282808,0.790546838208236
"g8",197.452690340196,0.878491212836283,0.569056257765355,1.54376865353534,0.122644387751494,0.231021979376794
"g9",238.836139607044,-0.643140090999699,0.421523329147236,-1.52575206762768,0.127071622019992,0.236988887692537
"g10",3.54158114713146,0.756790007096689,1.53193118711322,0.494010444765988,0.621298803060628,NA
"g15",370.305554563428,-0.255372493455387,0.37370854648768,-0.683346677124511,0.494387805768894,0.628709935453531
"g16",70.4845156148303,-0.802895048029817,0.489732550861135,-1.63945616156824,0.101118293461716,0.201799318627382
"g17",4480.66034038271,-0.560561192269927,0.400827136744623,-1.39851108091784,0.161959647485978,0.286494177360032
"g18",1988.76190122822,-0.338860497897432,0.35280378858571,-0.960478625402034,0.336814383527907,0.478810479611525
"g19",1500.35667387384,-2.20260789927475,0.41154918414554,-5.3519918982413,8.69912945778426e-08,2.41955240275457e-06
"g20",632.95761970854,-2.12849430470432,0.467401175255249,-4.5538916403921,5.26624898511314e-06,7.83991582783779e-05
"g21",125.571827207992,0.646812271064031,0.492821427636872,1.31246783275143,0.189362332629997,0.314355095355193
"g22",2208.85781518992,-0.0193828127269067,0.313669911939354,-0.0617936626661667,0.950727150304394,0.968991441467627
"g23",463.005690944787,-0.0695612646682257,0.387309377795518,-0.179601292032105,0.857465590282106,0.909701999805039
"g24",688.532732611211,1.6592386907933,0.628577248649764,2.63967347586551,0.00829859394285675,0.0307614546556497
"g25",98.0992250507689,5.27247543102236,0.721983420217042,7.30276524831742,2.81912805158385e-13,3.25256898951486e-11
"g26",3619.79052499311,0.136883465643168,0.595347669094443,0.229921897319889,0.818152460508664,0.882705693804204
"g27",73.8345283314276,-0.900828603693377,0.665884815484175,-1.35282947252427,0.176110114861829,0.302953546849269
"g28",16.28390112743,2.23816955391989,0.863481934161439,2.59202823518649,0.00954119405620564,0.0344677969232008
"g29",4824.41681334852,0.355653105692319,0.39151055775115,0.908412554019495,0.363660295453755,0.503613582451336
"g30",811.200219718732,0.0865945197812726,0.39218889308228,0.220797991245268,0.825249727738536,0.888286295863171
"g31",271.15826609044,-0.134214144497564,0.523649440290993,-0.256305333627362,0.79771507914202,0.865206836719253
"g32",242.707379426348,-1.82073825545211,0.561217733945314,-3.2442635813599,0.00117754724716455,0.00652778443923652
"g33",3028.86309937339,-2.43766472955337,0.759757859004583,-3.20847583300703,0.00133440523273138,0.00722378903114993
"g34",21.3759199124443,-2.03677788914205,0.746651590836298,-2.72788260835382,0.00637422878921526,0.0250358007338114
"g76",6.8253467719848,4.32309295078259,1.60790546648239,2.68864870534971,0.00717418737847357,0.0275333677768445
"g81",3.74661427813859,-0.811422861897145,1.6665696533413,-0.486882057566768,0.626341914730135,NA
"g91",118.06950151772,-1.54999156390189,0.66357220701865,-2.33582954124286,0.0195001273229723,0.058406427338092
"g92",120.611927658514,-0.969617322496033,0.512526839415578,-1.89183716427741,0.058512679943333,0.132046952537155
"g93",28.461914865347,-0.990830869236875,1.13862714278836,-0.87019783035424,0.384192301426172,0.526517437589246
"g94",3.48877305455254,4.32454329895118,2.42557729652481,1.78289238819438,0.0746038224030161,NA
"g97",1308.28984283796,0.676094894986459,0.343208440620774,1.96992502213401,0.0488469642267035,0.114722005041342
"g98",3207.6437568229,0.842218688956575,0.364007887159281,2.31373747291372,0.0206821270433132,0.0608918764305521
"g99",138.030120674477,4.96193811771988,1.09413929283167,4.5350150115514,5.75993885582244e-06,8.37232057310884e-05
"g100",20.5461781242835,4.68519368695355,1.11832169368601,4.18948654345698,2.7958636028965e-05,0.000314705134813838
"g101",984.529550186072,0.736153159642526,0.32442804270602,2.26907992756221,0.023263465773022,0.0659667554792605
"g102",1129.62315854685,-0.18363135360652,0.424997105716601,-0.432076715668199,0.66568565711023,0.774814453357809
"g103",797.805838647756,-2.62360288979303,0.587405947346198,-4.46642207428445,7.95386150763651e-06,0.000107173929511657
"g104",3990.33741790731,-0.125137257542003,0.328288256611731,-0.381181035330191,0.703068920363799,0.802637740872957
"g105",253.954012819131,-0.862879644713228,0.546813230120213,-1.57801530245259,0.114562094353155,0.219835370245243
"g106",209.953005801561,-0.701562651681749,0.443060707616505,-1.58344587913445,0.113319872963888,0.21790467238681
"g107",794.224475364315,-0.535314842296606,0.363209894465131,-1.47384432652893,0.140523510454337,0.255431320443374
"g108",2126.86666574726,2.38431453636129,0.4564406322602,5.22371228116711,1.75371204449021e-07,4.3164699121719e-06
"g109",3603.41279832116,2.01815380674295,0.466051061860498,4.33032766557034,1.4888762895519e-05,0.000185058195952085
"g110",369.204105106371,1.65424633891356,0.44753455870883,3.69635440821861,0.000218717593440764,0.00168230282288188
"g111",1143.36895657191,-0.929207574286217,0.540980301646917,-1.71763661533962,0.0858629173202023,0.178494307852583
"g112",71.3160752882384,-1.46120277369826,0.752991648564131,-1.94052985379666,0.0523153296570973,0.12103897201913
"g114",255.362457629512,-0.71499665474003,0.447817896144667,-1.59662367425586,0.110349618478319,0.214234321333378
"g115",27.3953587148429,0.344108345835583,0.780819477661678,0.440701539446845,0.659429081964676,0.769472873139565
"g116",117.307753726046,1.4320265535442,0.48817909489732,2.93340408983593,0.00335267221456826,0.0152439234189483
"g118",20.4027339790651,0.881058961470672,0.875564771838113,1.00627502362963,0.314283291592657,0.456749357290614
"g119",1593.06423953757,0.354600976701113,0.455481120567782,0.778519593214056,0.436262760473198,0.575654793304877
"g121",1379.01370882667,0.882899011026734,0.332328896368866,2.65670250367505,0.00789090431516025,0.02954687498131
"g122",2581.67203033073,0.0501072831238755,0.330150736891792,0.151770926200593,0.879367613981554,0.921705172697863
"g123",76.960501217939,-0.384620373470109,0.515722597439261,-0.74578925837239,0.455794729755994,0.594231702358227
"g153",2.06619668204014,-0.465370801250513,2.75496969776141,-0.168920479099519,0.865859190680742,NA
"g154",72.0127635124452,-1.97529272304517,0.824757763146555,-2.39499742992315,0.0166204817731553,0.0512210506731966
"g155",5530.6412307963,-1.79869651911233,0.565140220175901,-3.18274377738057,0.00145886649923547,0.00769447873596766
"g156",493.358577438755,-1.79216764226727,0.604137211028515,-2.96649107115284,0.00301219107271697,0.0141129561427297
"g157",975.523523502301,-0.440033577270776,0.473854083350668,-0.928626749735396,0.353082554045842,0.493473172377662
"g158",15073.9760095998,-0.919690798652839,0.303328028064595,-3.03200071724657,0.00242938626642111,0.0117707271596151
"g159",9146.5809519024,0.76369537442662,0.396406047333413,1.92654824406421,0.0540359539775716,0.124067625674872
"g161",1506.8455630101,1.05579640149814,0.294588480527868,3.58397042411935,0.000338410421957271,0.00236862308816058
"g162",1398.77571753235,0.69052188460991,0.416878554153502,1.65641018884279,0.0976387791343507,0.196341161527246
"g163",78.1501393757523,0.0645035098721041,0.512757602557892,0.125797276433013,0.899892397739158,0.934308979879913
"g164",756.101303724863,-1.13291018066793,0.410861365273536,-2.75740256062695,0.00582625748143883,0.0234319636399479
"g165",3361.10315343641,1.33631995174677,0.671085564814681,1.99128102556608,0.0464500002900374,0.110498325432228
"g166",637.301442684893,0.588056973200335,0.376687698608297,1.56112603457177,0.118494016426746,0.225595659442773
"g167",1115.41040671682,-0.0923430686782521,0.318401497037727,-0.290020837016701,0.771800296725416,0.849072316898163
"g171",57.213438383243,-0.567465113078803,0.553570803192356,-1.0250994268598,0.305316275948626,0.448611853355204
"g172",173.293512152593,-0.600630957806749,0.449636153697028,-1.33581553188773,0.181609575015867,0.307852410908439
"g173",754.550872854131,-0.856735942065529,0.481546592375364,-1.77913405604106,0.0752177864915634,0.160708372527113
"g174",747.43863239454,-0.627446184009684,0.358640215170456,-1.74951429725043,0.0802021596149047,0.168511788720446
"g175",103.726199634919,-0.180712920287008,0.401589543805627,-0.449994087431905,0.652714703861943,0.762993575652145
"g179",28.4299780334542,1.34685677923084,0.673962502531915,1.99841500702343,0.045671685989349,0.109493418618621
"g182",1635.295056204,-0.0109516901719535,0.324468993655719,-0.0337526555266908,0.97307438982943,0.979975626636731
"g183",914.927706534156,-1.69786718967626,0.514892748206494,-3.2975162217576,0.000975440398846995,0.00560954198215437
"g184",19.3814936809045,-0.375386742274508,0.825136515945368,-0.454938952549474,0.649153158470349,0.760848717800803
"g186",417.647012086543,-1.86289642293463,0.414158213305034,-4.49803085653786,6.85857449089518e-06,9.5916125077216e-05
"g187",425.378726896041,-0.386205351057801,0.39143957525876,-0.986628270282843,0.323824905954749,0.465385018135082
"g188",2881.91865029387,-0.945124955980044,0.326080877699127,-2.89843723020185,0.00375027369165651,0.0166418395067258
"g189",1397.61235697557,-0.470442347268471,0.348927049676076,-1.34825416288362,0.177576649373924,0.304392197662378
