Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Control_1_f1	(0.0, 0.000899260690117095)	(1.0, 0.0008093346211053856)	(2.0, 0.0006640694327018548)	(3.0, 0.0006248708897993148)	(4.0, 0.0006156477032340113)	(5.0, 0.00052111004093965)	(6.0, 0.0005372506174289311)	(7.0, 0.0006502346528538995)	(8.0, 0.0007194085520936761)	(9.0, 0.0009154012666063762)	(10.0, 0.0010283853020313445)	(11.0, 0.0013050808989904508)	(12.0, 0.0015379663597643652)	(13.0, 0.0014342055109047003)	(14.0, 0.001703983717939829)	(15.0, 0.002119027113378488)	(16.0, 0.0027000878669926113)	(17.0, 0.003145106618768507)	(18.0, 0.003912936900330026)	(19.0, 0.0049459337956440225)	(20.0, 0.00595587272454476)	(21.0, 0.007675997018973871)	(22.0, 0.01028154722367212)	(23.0, 0.013565001640920178)	(24.0, 0.01795293264936334)	(25.0, 0.02373356482916733)	(26.0, 0.03173698497120948)	(27.0, 0.04316912471890322)	(28.0, 0.05881164913365801)	(29.0, 0.08364738475737912)	(30.0, 0.11662949991490458)	(31.0, 0.15894547987651722)	(32.0, 0.22481747832591512)	(33.0, 0.31012042507176624)	(34.0, 0.4191223496971647)	(35.0, 0.5706431643886126)	(36.0, 0.752464452743724)	(37.0, 0.958708739123759)	(38.0, 1.203980939454876)	(39.0, 1.466071620487824)	(40.0, 1.7703191815141333)	(41.0, 2.136106149100789)	(42.0, 2.5184833235217843)	(43.0, 2.9143240445314817)	(44.0, 3.2992007025116745)	(45.0, 3.6584069264839862)	(46.0, 3.999999169913209)	(47.0, 4.269011852463418)	(48.0, 4.467926011320678)	(49.0, 4.57982171073094)	(50.0, 4.545403084265868)	(51.0, 4.441155712314885)	(52.0, 4.321383411577853)	(53.0, 4.156193834396625)	(54.0, 3.9722742710979064)	(55.0, 3.835273057856888)	(56.0, 3.625703812720061)	(57.0, 3.3589877036246127)	(58.0, 3.1196206484919315)	(59.0, 2.884447837449822)	(60.0, 2.6674055053984578)	(61.0, 2.4835205290493603)	(62.0, 2.317012036189294)	(63.0, 2.08946680043669)	(64.0, 1.8676860562874014)	(65.0, 1.6632402912876005)	(66.0, 1.4783177064499058)	(67.0, 1.3233358909998276)	(68.0, 1.139204194410108)	(69.0, 0.9758338907788864)	(70.0, 0.8287747925884041)	(71.0, 0.66969557650669)	(72.0, 0.5379123810649916)	(73.0, 0.4231436590396371)	(74.0, 0.3171646338110168)	(75.0, 0.23380547363380338)	(76.0, 0.172125413478336)	(77.0, 0.12638763130099573)	(78.0, 0.09418256961159709)	(79.0, 0.0674699155218367)	(80.0, 0.04261342772834368)	(81.0, 0.027344442369483666)	(82.0, 0.01814200797395206)	(83.0, 0.011118551404473416)	(84.0, 0.007752088308137625)	(85.0, 0.0056814829242269795)	(86.0, 0.005918979978283547)	(87.0, 0.00620259296516663)	(88.0, 0.0039060195104060487)	(89.0, 0.0024072516935442234)	(90.0, 0.0022919618614779293)	(91.0, 0.0025133183390452143)	(92.0, 0.00220203579246622)	(93.0, 0.0013327504586863612)	(94.0, 0.0007470781117895867)	(95.0, 0.0005487796006355606)	(96.0, 0.00033434051299225325)	(97.0, 0.00018446373130607077)	(98.0, 0.00011990142534894601)	(99.0, 5.9950712674473005e-05)	(100.0, 2.7669559695910616e-05)
Control_1_r2	(0.0, 0.005003493799068681)	(1.0, 0.004007406554277128)	(2.0, 0.002600894472511278)	(3.0, 0.0019137787342059934)	(4.0, 0.0015217999573204286)	(5.0, 0.0013603969315440193)	(6.0, 0.0013396451139441954)	(7.0, 0.0012912242062112726)	(8.0, 0.0014065120817658506)	(9.0, 0.0016647569230081052)	(10.0, 0.0016532281354526472)	(11.0, 0.001874580856517437)	(12.0, 0.002052124184871487)	(13.0, 0.0019645053994500074)	(14.0, 0.0021420487278040576)	(15.0, 0.0025409447772228974)	(16.0, 0.003055128702196315)	(17.0, 0.003384852026282408)	(18.0, 0.004148057762453713)	(19.0, 0.005250209852755478)	(20.0, 0.006151761039592277)	(21.0, 0.00804709371370954)	(22.0, 0.010850894847196873)	(23.0, 0.013855296884149174)	(24.0, 0.01861668614455324)	(25.0, 0.024890652332233372)	(26.0, 0.03250887514887988)	(27.0, 0.043590345747185906)	(28.0, 0.05933175227540798)	(29.0, 0.08393187916124381)	(30.0, 0.11570982917910766)	(31.0, 0.15806198314283743)	(32.0, 0.226928042726609)	(33.0, 0.31272066819930366)	(34.0, 0.4192489709692448)	(35.0, 0.5714566357914207)	(36.0, 0.7571000902819354)	(37.0, 0.9636659884280948)	(38.0, 1.2060587467815949)	(39.0, 1.463660281678255)	(40.0, 1.7680502479899847)	(41.0, 2.1336350186460846)	(42.0, 2.518016324532603)	(43.0, 2.913043312847831)	(44.0, 3.2974061726742603)	(45.0, 3.657812211960448)	(46.0, 3.9975286890996125)	(47.0, 4.275144199192547)	(48.0, 4.477704996541941)	(49.0, 4.590657139737782)	(50.0, 4.550340969656346)	(51.0, 4.440058893658348)	(52.0, 4.322121702723527)	(53.0, 4.161032259968626)	(54.0, 3.9757669497099304)	(55.0, 3.8196671662090314)	(56.0, 3.6156583531426727)	(57.0, 3.3581882464241453)	(58.0, 3.1118318909090785)	(59.0, 2.883677185186569)	(60.0, 2.6663572340086783)	(61.0, 2.4794617531896406)	(62.0, 2.314743048112282)	(63.0, 2.0846330600203666)	(64.0, 1.865016574361429)	(65.0, 1.6637354724306916)	(66.0, 1.4757608970964633)	(67.0, 1.3200300347973395)	(68.0, 1.1429017427952861)	(69.0, 0.9782937140784596)	(70.0, 0.8265518122735241)	(71.0, 0.6694098263776124)	(72.0, 0.53693944585038)	(73.0, 0.41855493795840626)	(74.0, 0.31254312487094965)	(75.0, 0.23284922801509209)	(76.0, 0.1703309188593556)	(77.0, 0.12357707380695206)	(78.0, 0.0922395234737067)	(79.0, 0.06619368662841646)	(80.0, 0.041362983991471466)	(81.0, 0.026352502594265418)	(82.0, 0.01740155193620799)	(83.0, 0.010336710922223456)	(84.0, 0.007415316155670452)	(85.0, 0.005958077408660586)	(86.0, 0.006675167994610062)	(87.0, 0.007021031621273795)	(88.0, 0.0045907632045832925)	(89.0, 0.0032603411206834636)	(90.0, 0.002942146584152828)	(91.0, 0.0027830493158875107)	(92.0, 0.002361095691357756)	(93.0, 0.0017108720732299362)	(94.0, 0.0013696199615883856)	(95.0, 0.0012036054207897934)	(96.0, 0.0009338317919920812)	(97.0, 0.0006825042232831013)	(98.0, 0.0005441587726176077)	(99.0, 0.00047268028977376944)	(100.0, 0.000594885437861622)
Control_2_f1	(0.0, 0.006390968329044714)	(1.0, 0.005592665879402473)	(2.0, 0.004027902103465547)	(3.0, 0.0029066396884409765)	(4.0, 0.00214017836214629)	(5.0, 0.0015988792652378765)	(6.0, 0.0013509733763176369)	(7.0, 0.0012668218360419592)	(8.0, 0.0011803959298128848)	(9.0, 0.0010848725597702234)	(10.0, 0.0011712984659992978)	(11.0, 0.0013100347891564963)	(12.0, 0.001269096201995356)	(13.0, 0.0012941142274827194)	(14.0, 0.0015533919461699426)	(15.0, 0.0018376876903445295)	(16.0, 0.002326676370324819)	(17.0, 0.0029794193989496703)	(18.0, 0.003877793950541365)	(19.0, 0.004755699208552489)	(20.0, 0.006031618508408035)	(21.0, 0.00799667069214278)	(22.0, 0.010282408475306459)	(23.0, 0.013432405320760883)	(24.0, 0.017119152531216923)	(25.0, 0.02187712610572281)	(26.0, 0.027665387457117396)	(27.0, 0.0356461375875864)	(28.0, 0.048873849972541586)	(29.0, 0.06877000333285586)	(30.0, 0.09869838491360299)	(31.0, 0.1395732898280484)	(32.0, 0.19714431520637893)	(33.0, 0.2789236917926639)	(34.0, 0.39110906680990926)	(35.0, 0.5435666397639499)	(36.0, 0.7286568154173264)	(37.0, 0.9560865876591357)	(38.0, 1.2279165320431553)	(39.0, 1.5284739927845286)	(40.0, 1.886147605713553)	(41.0, 2.2882600550059955)	(42.0, 2.704632778826235)	(43.0, 3.133701013398335)	(44.0, 3.5566625753855656)	(45.0, 3.972305227734765)	(46.0, 4.334163674018039)	(47.0, 4.576804405756166)	(48.0, 4.721656498962048)	(49.0, 4.775329261096256)	(50.0, 4.712222428987358)	(51.0, 4.571314086344666)	(52.0, 4.389624087791617)	(53.0, 4.162091969081906)	(54.0, 3.903089448675043)	(55.0, 3.6603463704690133)	(56.0, 3.417262137369975)	(57.0, 3.1679666108522095)	(58.0, 2.9225170371616387)	(59.0, 2.6815525131311655)	(60.0, 2.4723563327377374)	(61.0, 2.311385808020133)	(62.0, 2.164184294784392)	(63.0, 1.9748069393088632)	(64.0, 1.7683309005956973)	(65.0, 1.5729082804160397)	(66.0, 1.4064701799464696)	(67.0, 1.2359609644203193)	(68.0, 1.0427171868240157)	(69.0, 0.883625288383917)	(70.0, 0.7494376971335119)	(71.0, 0.5983106282622084)	(72.0, 0.47105075570584964)	(73.0, 0.3647446166781348)	(74.0, 0.26909843087399016)	(75.0, 0.20422669078525624)	(76.0, 0.1521573566481923)	(77.0, 0.11441652801752752)	(78.0, 0.08516363312493924)	(79.0, 0.0606254988537423)	(80.0, 0.042250896316250404)	(81.0, 0.03098368738312318)	(82.0, 0.022473009985512743)	(83.0, 0.014533198442204883)	(84.0, 0.010384754943209309)	(85.0, 0.007159704021292796)	(86.0, 0.007646418335319689)	(87.0, 0.008158150674833945)	(88.0, 0.004869417506222324)	(89.0, 0.003018083620157414)	(90.0, 0.002733787875982827)	(91.0, 0.0027019467526352738)	(92.0, 0.002258445391722918)	(93.0, 0.0013100347891564963)	(94.0, 0.0007073278115063722)	(95.0, 0.0005458478288152068)	(96.0, 0.0003593498206366778)	(97.0, 0.00025018025487363643)	(98.0, 0.00015693125078437197)	(99.0, 8.187717432228102e-05)	(100.0, 2.9566757394157033e-05)
Control_2_r2	(0.0, 0.01847134244677197)	(1.0, 0.01416394000966459)	(2.0, 0.008100827603472267)	(3.0, 0.0052785010858110975)	(4.0, 0.0036319544308661455)	(5.0, 0.0027563736820349206)	(6.0, 0.0022787841826724343)	(7.0, 0.0020536348472586907)	(8.0, 0.0021059422686174395)	(9.0, 0.0021036680329061894)	(10.0, 0.0020036016616111923)	(11.0, 0.0020036016616111923)	(12.0, 0.0018921641117599457)	(13.0, 0.001937648825984944)	(14.0, 0.0022674130041161846)	(15.0, 0.002563063646578676)	(16.0, 0.0030929605672999107)	(17.0, 0.003927605073328637)	(18.0, 0.004962382321947357)	(19.0, 0.005935755206362329)	(20.0, 0.00692504774075605)	(21.0, 0.008307783053196011)	(22.0, 0.010600212650135945)	(23.0, 0.014132100709707092)	(24.0, 0.018253015818491976)	(25.0, 0.0224990138913956)	(26.0, 0.02845523721915918)	(27.0, 0.03680395651515769)	(28.0, 0.04847533418529235)	(29.0, 0.06858185210845302)	(30.0, 0.09875641152531717)	(31.0, 0.1383053705439535)	(32.0, 0.1962642676451581)	(33.0, 0.27785474802196075)	(34.0, 0.3889488882808088)	(35.0, 0.5390802845232621)	(36.0, 0.7243872845116178)	(37.0, 0.95328228614179)	(38.0, 1.2210394276058012)	(39.0, 1.5227395370602173)	(40.0, 1.8820483113163058)	(41.0, 2.279157157329079)	(42.0, 2.69714803564255)	(43.0, 3.133639821467039)	(44.0, 3.5572412392801622)	(45.0, 3.971641099405569)	(46.0, 4.340194641827889)	(47.0, 4.5868923606057255)	(48.0, 4.726855648983181)	(49.0, 4.784430200249183)	(50.0, 4.719985182899494)	(51.0, 4.567581825181502)	(52.0, 4.391230765424049)	(53.0, 4.167138949616036)	(54.0, 3.90504920354446)	(55.0, 3.658940511815837)	(56.0, 3.4166275194892903)	(57.0, 3.1657588524170213)	(58.0, 2.9176761240910336)	(59.0, 2.679577290537433)	(60.0, 2.470147472359849)	(61.0, 2.3051357518586872)	(62.0, 2.1555660918369126)	(63.0, 1.9752646846490183)	(64.0, 1.7708336365647614)	(65.0, 1.5737688379492434)	(66.0, 1.4084341759770844)	(67.0, 1.234950927451517)	(68.0, 1.0436604133068623)	(69.0, 0.8851484584684534)	(70.0, 0.747191045988321)	(71.0, 0.5944442786779304)	(72.0, 0.468970146016849)	(73.0, 0.3630498920010945)	(74.0, 0.2672363414861348)	(75.0, 0.20288911627202919)	(76.0, 0.14924217007935445)	(77.0, 0.112613329713963)	(78.0, 0.08374873006677884)	(79.0, 0.0589072533927958)	(80.0, 0.0414547685446638)	(81.0, 0.031341242336735346)	(82.0, 0.022503562362818103)	(83.0, 0.013415716460663364)	(84.0, 0.009272058994765983)	(85.0, 0.006724914998166056)	(86.0, 0.007736949889672278)	(87.0, 0.00838738130308976)	(88.0, 0.005153418121692352)	(89.0, 0.0032771736599111556)	(90.0, 0.003079315153032411)	(91.0, 0.0028496173461961677)	(92.0, 0.002290155361228684)	(93.0, 0.001676111719191202)	(94.0, 0.0013008628268349625)	(95.0, 0.0011211982056462178)	(96.0, 0.0008619353345637251)	(97.0, 0.0006822707133749803)	(98.0, 0.0005367196278549845)	(99.0, 0.0005048803278974855)	(100.0, 0.000589027049213733)
Control_3_f1	(0.0, 0.00023994663935753983)	(1.0, 0.00029666129956932197)	(2.0, 0.00031411196424987033)	(3.0, 0.0002792106348887736)	(4.0, 0.0003184746304200074)	(5.0, 0.0003446506274408299)	(6.0, 0.00033156262893041863)	(7.0, 0.00031193063116480177)	(8.0, 0.0003446506274408299)	(9.0, 0.00043190395084357166)	(10.0, 0.0005191572742463134)	(11.0, 0.0006783945894563171)	(12.0, 0.0007830985775396072)	(13.0, 0.0008507199031767321)	(14.0, 0.0011081172072148202)	(15.0, 0.0013567891789126342)	(16.0, 0.0016425438130566136)	(17.0, 0.002004645105177992)	(18.0, 0.002556522375700333)	(19.0, 0.0031345756432434972)	(20.0, 0.0038173328988699517)	(21.0, 0.004966895434701074)	(22.0, 0.006443657933292479)	(23.0, 0.008439577706130196)	(24.0, 0.011105166736083957)	(25.0, 0.014248467711667727)	(26.0, 0.01787166196596658)	(27.0, 0.02354749065331493)	(28.0, 0.0325782096254987)	(29.0, 0.04730438928279644)	(30.0, 0.06893448815433613)	(31.0, 0.09997267662177645)	(32.0, 0.144988847498336)	(33.0, 0.209146216196372)	(34.0, 0.2984259980351424)	(35.0, 0.4220683199629976)	(36.0, 0.5727569908126177)	(37.0, 0.7579957963966384)	(38.0, 0.9802321924365068)	(39.0, 1.2384125950521345)	(40.0, 1.557172980106286)	(41.0, 1.9192939042254296)	(42.0, 2.3148197632093135)	(43.0, 2.7338625741833207)	(44.0, 3.1621193361086575)	(45.0, 3.5971818572594088)	(46.0, 3.9893353752937766)	(47.0, 4.28572182689438)	(48.0, 4.498179306713886)	(49.0, 4.642915119574354)	(50.0, 4.656912733981239)	(51.0, 4.583059339720073)	(52.0, 4.4779583490153)	(53.0, 4.301846241059207)	(54.0, 4.095014419266092)	(55.0, 3.89811202567621)	(56.0, 3.6902506146669434)	(57.0, 3.460119974192212)	(58.0, 3.22203183062315)	(59.0, 2.9925425020754295)	(60.0, 2.7830385472531063)	(61.0, 2.618642379296915)	(62.0, 2.4729140598827413)	(63.0, 2.2688656191061742)	(64.0, 2.028334382481836)	(65.0, 1.8089511701172376)	(66.0, 1.6300709504761917)	(67.0, 1.4355222152850984)	(68.0, 1.2182090880182297)	(69.0, 1.0265811578280433)	(70.0, 0.852146495014367)	(71.0, 0.6828794102792181)	(72.0, 0.5387587333487394)	(73.0, 0.4148175687882298)	(74.0, 0.30614355449011493)	(75.0, 0.230309509787707)	(76.0, 0.17122592184554042)	(77.0, 0.125895639004731)	(78.0, 0.09112300829565335)	(79.0, 0.06352478210336614)	(80.0, 0.0434652430530758)	(81.0, 0.031677319061365394)	(82.0, 0.02253317076875806)	(83.0, 0.015155902275056242)	(84.0, 0.011096441403743683)	(85.0, 0.007859343105501964)	(86.0, 0.00888238832239911)	(87.0, 0.009408089595900629)	(88.0, 0.0055340420368188955)	(89.0, 0.0035337595978110407)	(90.0, 0.0033723409495159686)	(91.0, 0.0033265329547295295)	(92.0, 0.0027462983541012963)	(93.0, 0.0016272744814611337)	(94.0, 0.0008005492422201556)	(95.0, 0.0006107732638191922)	(96.0, 0.0004013652876526121)	(97.0, 0.000248671971697814)	(98.0, 0.0001286986520190441)	(99.0, 5.2351994041645045e-05)	(100.0, 3.053866319095961e-05)
Control_3_r2	(0.0, 0.001103753361294358)	(1.0, 0.0008965269397074727)	(2.0, 0.0006478552338032101)	(3.0, 0.0006238605955142024)	(4.0, 0.0006347672492819332)	(5.0, 0.0006805751951064026)	(6.0, 0.0007351084639450566)	(7.0, 0.0008005483865514415)	(8.0, 0.000874713632172011)	(9.0, 0.0009423348855319421)	(10.0, 0.0010470387617021579)	(11.0, 0.001184462599175566)	(12.0, 0.0012978917983599665)	(13.0, 0.0013218864366489743)	(14.0, 0.0014505849511081978)	(15.0, 0.0017450646028369296)	(16.0, 0.002179149422792616)	(17.0, 0.0025870582737057483)	(18.0, 0.0031040336622961888)	(19.0, 0.0038565927722696144)	(20.0, 0.0048054716500621954)	(21.0, 0.0058481477502572606)	(22.0, 0.006908274496480695)	(23.0, 0.008725323014184648)	(24.0, 0.011482525086666999)	(25.0, 0.01464545467930893)	(26.0, 0.01888159900269558)	(27.0, 0.024984962451117743)	(28.0, 0.0342163542001251)	(29.0, 0.04877673698004573)	(30.0, 0.07091942545929282)	(31.0, 0.10237857758693557)	(32.0, 0.14780697186028796)	(33.0, 0.21189665073022773)	(34.0, 0.29908444094946784)	(35.0, 0.42288368653622677)	(36.0, 0.5755877459382258)	(37.0, 0.7612080864112364)	(38.0, 0.9824800967202056)	(39.0, 1.2418817686011616)	(40.0, 1.5636345987414813)	(41.0, 1.9222737319242664)	(42.0, 2.3133906986966006)	(43.0, 2.732127675470336)	(44.0, 3.1572799459902505)	(45.0, 3.586668360833552)	(46.0, 3.985834438086471)	(47.0, 4.284137962626169)	(48.0, 4.492171476591867)	(49.0, 4.636488319246481)	(50.0, 4.65465880442352)	(51.0, 4.581994314361391)	(52.0, 4.465847177058072)	(53.0, 4.301180699803626)	(54.0, 4.100345577324631)	(55.0, 3.8992639644704847)	(56.0, 3.6930104163996806)	(57.0, 3.4628080379856936)	(58.0, 3.222235613169348)	(59.0, 2.9877425571631355)	(60.0, 2.780474690291933)	(61.0, 2.615334864263967)	(62.0, 2.468326259459477)	(63.0, 2.2651527504126805)	(64.0, 2.027095399955174)	(65.0, 1.8091979083219405)	(66.0, 1.6257698052562437)	(67.0, 1.4299910074639686)	(68.0, 1.2178456850278365)	(69.0, 1.0290296950008806)	(70.0, 0.8526298396231097)	(71.0, 0.6835199916236899)	(72.0, 0.539946982756035)	(73.0, 0.4146906082259073)	(74.0, 0.3065489547881028)	(75.0, 0.23034634624372116)	(76.0, 0.17092907784787725)	(77.0, 0.1273635400380533)	(78.0, 0.09326934036012681)	(79.0, 0.06458265962024122)	(80.0, 0.04356771914057749)	(81.0, 0.03220952990686263)	(82.0, 0.02313737530286414)	(83.0, 0.01450584951108198)	(84.0, 0.010483475601542856)	(85.0, 0.00805347314209243)	(86.0, 0.009447343493608429)	(87.0, 0.010330782448794623)	(88.0, 0.00654181092988494)	(89.0, 0.0041554350855054385)	(90.0, 0.0036886303042465603)	(91.0, 0.0035621131205408824)	(92.0, 0.0031912868924380356)	(93.0, 0.00234711189081567)	(94.0, 0.0016905313339982755)	(95.0, 0.001358969059459259)	(96.0, 0.0010034121466312347)	(97.0, 0.0007198391486702336)	(98.0, 0.0005867779727039175)	(99.0, 0.000551876680647179)	(100.0, 0.0006107726109929254)
Heat_treated_42_12h_1_f1	(0.0, 0.001437928620684046)	(1.0, 0.0014716300727313284)	(2.0, 0.0013817595339385754)	(3.0, 0.0012963825220854604)	(4.0, 0.001312109866374192)	(5.0, 0.0013413177914818365)	(6.0, 0.001462643018852053)	(7.0, 0.0015480200307051684)	(8.0, 0.0018221251740230646)	(9.0, 0.0023411275355512125)	(10.0, 0.002925286037704106)	(11.0, 0.0035116913033268185)	(12.0, 0.004095849805479712)	(13.0, 0.00482604793317083)	(14.0, 0.005771935353964554)	(15.0, 0.007043603477882007)	(16.0, 0.008106322599106309)	(17.0, 0.009602667070005646)	(18.0, 0.011213596477865741)	(19.0, 0.012496498419132288)	(20.0, 0.014756742469770021)	(21.0, 0.018338083440661224)	(22.0, 0.022544024656162058)	(23.0, 0.02681736877575746)	(24.0, 0.0326836681954544)	(25.0, 0.040441742456738795)	(26.0, 0.04998599367652915)	(27.0, 0.06423496760212012)	(28.0, 0.08187206084019788)	(29.0, 0.10567202627598865)	(30.0, 0.13920272429956476)	(31.0, 0.18341678262212935)	(32.0, 0.24886724926142145)	(33.0, 0.3377065236215275)	(34.0, 0.4551965257487632)	(35.0, 0.6006048107519675)	(36.0, 0.76339630472116)	(37.0, 0.9758300375559994)	(38.0, 1.222585329155791)	(39.0, 1.469428244530906)	(40.0, 1.7723728437473965)	(41.0, 2.1357800947001815)	(42.0, 2.505631063284407)	(43.0, 2.875412382201068)	(44.0, 3.234339586795034)	(45.0, 3.566743748627789)	(46.0, 3.8814344272644927)	(47.0, 4.1598106679385145)	(48.0, 4.37142657887034)	(49.0, 4.486182269854806)	(50.0, 4.4357738846459505)	(51.0, 4.32503990027246)	(52.0, 4.215750584810063)	(53.0, 4.022865940926118)	(54.0, 3.8123374635136846)	(55.0, 3.6255842371388742)	(56.0, 3.426008731641808)	(57.0, 3.1906669984686955)	(58.0, 2.9618229052503)	(59.0, 2.7955444343759486)	(60.0, 2.624617409882542)	(61.0, 2.4647309810798252)	(62.0, 2.358207431448775)	(63.0, 2.218285742838868)	(64.0, 2.0299148467657884)	(65.0, 1.818943756949801)	(66.0, 1.6445050411530677)	(67.0, 1.5063268409957404)	(68.0, 1.2956410901404198)	(69.0, 1.0745932661622952)	(70.0, 0.9184611791176457)	(71.0, 0.7533937137535266)	(72.0, 0.6065901886355648)	(73.0, 0.48667592872439464)	(74.0, 0.36677964292098303)	(75.0, 0.2815823721454533)	(76.0, 0.22500662121194553)	(77.0, 0.1744319755063239)	(78.0, 0.12688147343107833)	(79.0, 0.08887522257562314)	(80.0, 0.057326169932427236)	(81.0, 0.03782201625093005)	(82.0, 0.027916036112498863)	(83.0, 0.01872003323053042)	(84.0, 0.012786330906738915)	(85.0, 0.009164548193390973)	(86.0, 0.008045659985421201)	(87.0, 0.007427800031221026)	(88.0, 0.004972087558709053)	(89.0, 0.0031544559116256257)	(90.0, 0.002424257783934509)	(91.0, 0.0019973727246689324)	(92.0, 0.0015143185786578859)	(93.0, 0.0010110435614184698)	(94.0, 0.0006717822774758278)	(95.0, 0.0005549505770452491)	(96.0, 0.00038644331680883734)	(97.0, 0.0002583777990291645)	(98.0, 0.000164013733296774)	(99.0, 8.762377532293405e-05)	(100.0, 3.145468857746351e-05)
Heat_treated_42_12h_1_r2	(0.0, 0.007104102488878046)	(1.0, 0.005587572071423056)	(2.0, 0.003664386830917171)	(3.0, 0.0029162318249727087)	(4.0, 0.0024848631728966223)	(5.0, 0.0023410736222045933)	(6.0, 0.0023612940277706602)	(7.0, 0.0025702382186200143)	(8.0, 0.0030959687633377443)	(9.0, 0.0036576466957284823)	(10.0, 0.004073288365697627)	(11.0, 0.004673160397490935)	(12.0, 0.005185410671831288)	(13.0, 0.005794269550542847)	(14.0, 0.006627799602210701)	(15.0, 0.007715208079319169)	(16.0, 0.00866781385265386)	(17.0, 0.009768702600139706)	(18.0, 0.011460476532500607)	(19.0, 0.013460049971811633)	(20.0, 0.015969626973733445)	(21.0, 0.01936890182056219)	(22.0, 0.0229883544168881)	(23.0, 0.027623320714976467)	(24.0, 0.0338062713947337)	(25.0, 0.04150350578021637)	(26.0, 0.0520832713147283)	(27.0, 0.06571182466625715)	(28.0, 0.08270819890040088)	(29.0, 0.10708502116615888)	(30.0, 0.14145072378155374)	(31.0, 0.18805651189960756)	(32.0, 0.2545883863471552)	(33.0, 0.3399499518001699)	(34.0, 0.456163362723543)	(35.0, 0.6034510435785013)	(36.0, 0.766348877530463)	(37.0, 0.9764793321730265)	(38.0, 1.225293669375205)	(39.0, 1.475456033615121)	(40.0, 1.7791889923347362)	(41.0, 2.143347263020947)	(42.0, 2.5029020213732833)	(43.0, 2.8721401072800354)	(44.0, 3.2373475923439523)	(45.0, 3.5728243410905622)	(46.0, 3.8913204425851355)	(47.0, 4.17428929150013)	(48.0, 4.38187197504137)	(49.0, 4.492306843396307)	(50.0, 4.436884958451447)	(51.0, 4.317411568808479)	(52.0, 4.2130113681591475)	(53.0, 4.0217465519097235)	(54.0, 3.8123170713267838)	(55.0, 3.6238988388387168)	(56.0, 3.4161656256115966)	(57.0, 3.176872852719306)	(58.0, 2.9473285620215894)	(59.0, 2.7803147521810687)	(60.0, 2.61313243896083)	(61.0, 2.4558895784321786)	(62.0, 2.3481462707292575)	(63.0, 2.21098002621598)	(64.0, 2.028454918594557)	(65.0, 1.82240224574115)	(66.0, 1.646352161324327)	(67.0, 1.5051395889861068)	(68.0, 1.2983522413971331)	(69.0, 1.072935160146623)	(70.0, 0.9119694982820855)	(71.0, 0.7513408431769825)	(72.0, 0.6041947051609866)	(73.0, 0.4826004196453103)	(74.0, 0.3650884093422498)	(75.0, 0.2788978072610263)	(76.0, 0.2221503623957253)	(77.0, 0.17636237734723242)	(78.0, 0.13017897103433643)	(79.0, 0.08952022886443574)	(80.0, 0.05561510215360125)	(81.0, 0.036482105064643174)	(82.0, 0.0258506651603513)	(83.0, 0.014877725073165853)	(84.0, 0.009310373407308862)	(85.0, 0.00677158915290273)	(86.0, 0.006652513431235894)	(87.0, 0.0065266975743803685)	(88.0, 0.004313686520760863)	(89.0, 0.0028757910138405753)	(90.0, 0.002406228262361919)	(91.0, 0.0021568432603804315)	(92.0, 0.0017007607792791529)	(93.0, 0.0013278066321717034)	(94.0, 0.0011458229820771044)	(95.0, 0.0009436189264164388)	(96.0, 0.0008200497812904765)	(97.0, 0.0008020760874539731)	(98.0, 0.0008133096461017878)	(99.0, 0.0008020760874539731)	(100.0, 0.0009301386560390611)
